tabla,variable,etiqueta,bloque,bloque_etiqueta,tipo,expr,denominador,tema,tema_etiqueta
fichas,viv_tipo_presentes,Viviendas particulares con personas presentes,vivienda,Vivienda,numerica,viv_tipo_presentes,viv_total,vivienda_hogar,Vivienda y hogar
fichas,viv_total,Total de viviendas,vivienda,Vivienda,numerica,viv_total,,vivienda_hogar,Vivienda y hogar
fichas,serv_agua_caneria,Agua por cañería de red,servicios,Servicios básicos,numerica,serv_agua_caneria,serv_agua_total,servicios_basicos,Servicios básicos del hogar
fichas,serv_agua_carro,Agua de carro repartidor,servicios,Servicios básicos,numerica,serv_agua_carro,serv_agua_total,servicios_basicos,Servicios básicos del hogar
fichas,serv_agua_lluvia,Agua de cosecha de lluvia,servicios,Servicios básicos,numerica,serv_agua_lluvia,serv_agua_total,servicios_basicos,Servicios básicos del hogar
fichas,serv_agua_otra,Agua de otra procedencia,servicios,Servicios básicos,numerica,serv_agua_otra,serv_agua_total,servicios_basicos,Servicios básicos del hogar
fichas,serv_agua_pileta,Agua de pileta pública,servicios,Servicios básicos,numerica,serv_agua_pileta,serv_agua_total,servicios_basicos,Servicios básicos del hogar
fichas,serv_agua_pozobomba,Agua de pozo con bomba,servicios,Servicios básicos,numerica,serv_agua_pozobomba,serv_agua_total,servicios_basicos,Servicios básicos del hogar
fichas,serv_agua_pozosinbomba,Agua de pozo sin bomba o no protegido,servicios,Servicios básicos,numerica,serv_agua_pozosinbomba,serv_agua_total,servicios_basicos,Servicios básicos del hogar
fichas,serv_agua_total,Viviendas ocupadas por procedencia del agua,servicios,Servicios básicos,numerica,serv_agua_total,,servicios_basicos,Servicios básicos del hogar
fichas,serv_agua_vertienteno,"Agua de río, acequia o vertiente no protegida",servicios,Servicios básicos,numerica,serv_agua_vertienteno,serv_agua_total,servicios_basicos,Servicios básicos del hogar
fichas,serv_agua_vertientesi,Agua de manantial o vertiente protegida,servicios,Servicios básicos,numerica,serv_agua_vertientesi,serv_agua_total,servicios_basicos,Servicios básicos del hogar
fichas,serv_basura_basurero,Basura en contenedor o basurero público,servicios,Servicios básicos,numerica,serv_basura_basurero,serv_basura_total,servicios_basicos,Servicios básicos del hogar
fichas,serv_basura_calle,Basura en terreno baldío o la calle,servicios,Servicios básicos,numerica,serv_basura_calle,serv_basura_total,servicios_basicos,Servicios básicos del hogar
fichas,serv_basura_carro,Basura al carro basurero,servicios,Servicios básicos,numerica,serv_basura_carro,serv_basura_total,servicios_basicos,Servicios básicos del hogar
fichas,serv_basura_entierra,Basura enterrada,servicios,Servicios básicos,numerica,serv_basura_entierra,serv_basura_total,servicios_basicos,Servicios básicos del hogar
fichas,serv_basura_otro,Basura eliminada de otra forma,servicios,Servicios básicos,numerica,serv_basura_otro,serv_basura_total,servicios_basicos,Servicios básicos del hogar
fichas,serv_basura_quema,Basura quemada,servicios,Servicios básicos,numerica,serv_basura_quema,serv_basura_total,servicios_basicos,Servicios básicos del hogar
fichas,serv_basura_rio,Basura al río,servicios,Servicios básicos,numerica,serv_basura_rio,serv_basura_total,servicios_basicos,Servicios básicos del hogar
fichas,serv_basura_total,Viviendas ocupadas por eliminación de la basura,servicios,Servicios básicos,numerica,serv_basura_total,,servicios_basicos,Servicios básicos del hogar
fichas,serv_combustible_electricidad,Cocina con electricidad,servicios,Servicios básicos,numerica,serv_combustible_electricidad,serv_combustible_total,servicios_basicos,Servicios básicos del hogar
fichas,serv_combustible_gascaneria,Cocina con gas por cañería,servicios,Servicios básicos,numerica,serv_combustible_gascaneria,serv_combustible_total,servicios_basicos,Servicios básicos del hogar
fichas,serv_combustible_gasgarrafa,Cocina con gas en garrafa,servicios,Servicios básicos,numerica,serv_combustible_gasgarrafa,serv_combustible_total,servicios_basicos,Servicios básicos del hogar
fichas,serv_combustible_guano,"Cocina con guano, bosta o taquia",servicios,Servicios básicos,numerica,serv_combustible_guano,serv_combustible_total,servicios_basicos,Servicios básicos del hogar
fichas,serv_combustible_lena,Cocina con leña,servicios,Servicios básicos,numerica,serv_combustible_lena,serv_combustible_total,servicios_basicos,Servicios básicos del hogar
fichas,serv_combustible_nococina,No cocina,servicios,Servicios básicos,numerica,serv_combustible_nococina,serv_combustible_total,servicios_basicos,Servicios básicos del hogar
fichas,serv_combustible_otro,Cocina con otro combustible,servicios,Servicios básicos,numerica,serv_combustible_otro,serv_combustible_total,servicios_basicos,Servicios básicos del hogar
fichas,serv_combustible_solar,Cocina con energía solar,servicios,Servicios básicos,numerica,serv_combustible_solar,serv_combustible_total,servicios_basicos,Servicios básicos del hogar
fichas,serv_combustible_total,Viviendas ocupadas por combustible para cocinar,servicios,Servicios básicos,numerica,serv_combustible_total,,servicios_basicos,Servicios básicos del hogar
fichas,serv_desague_alcantarillado,Desagüe a la red de alcantarillado,servicios,Servicios básicos,numerica,serv_desague_alcantarillado,serv_desague_total,servicios_basicos,Servicios básicos del hogar
fichas,serv_desague_camara,Desagüe a cámara séptica,servicios,Servicios básicos,numerica,serv_desague_camara,serv_desague_total,servicios_basicos,Servicios básicos del hogar
fichas,serv_desague_ecologico,Baño ecológico,servicios,Servicios básicos,numerica,serv_desague_ecologico,serv_desague_total,servicios_basicos,Servicios básicos del hogar
fichas,serv_desague_ninguno,Sin servicio sanitario,servicios,Servicios básicos,numerica,serv_desague_ninguno,serv_desague_total,servicios_basicos,Servicios básicos del hogar
fichas,serv_desague_pozoabsorcion,Desagüe a pozo de absorción,servicios,Servicios básicos,numerica,serv_desague_pozoabsorcion,serv_desague_total,servicios_basicos,Servicios básicos del hogar
fichas,serv_desague_pozociego,Desagüe a pozo ciego,servicios,Servicios básicos,numerica,serv_desague_pozociego,serv_desague_total,servicios_basicos,Servicios básicos del hogar
fichas,serv_desague_superficie,Desagüe a la superficie,servicios,Servicios básicos,numerica,serv_desague_superficie,serv_desague_total,servicios_basicos,Servicios básicos del hogar
fichas,serv_desague_total,Viviendas ocupadas por desagüe del servicio sanitario,servicios,Servicios básicos,numerica,serv_desague_total,,servicios_basicos,Servicios básicos del hogar
fichas,serv_luz_motor,Energía eléctrica de motor propio,servicios,Servicios básicos,numerica,serv_luz_motor,serv_luz_total,servicios_basicos,Servicios básicos del hogar
fichas,serv_luz_ninguna,Sin energía eléctrica,servicios,Servicios básicos,numerica,serv_luz_ninguna,serv_luz_total,servicios_basicos,Servicios básicos del hogar
fichas,serv_luz_otra,Energía eléctrica de otra fuente,servicios,Servicios básicos,numerica,serv_luz_otra,serv_luz_total,servicios_basicos,Servicios básicos del hogar
fichas,serv_luz_publica,Energía eléctrica de servicio público,servicios,Servicios básicos,numerica,serv_luz_publica,serv_luz_total,servicios_basicos,Servicios básicos del hogar
fichas,serv_luz_solar,Energía eléctrica de panel solar,servicios,Servicios básicos,numerica,serv_luz_solar,serv_luz_total,servicios_basicos,Servicios básicos del hogar
fichas,serv_luz_total,Viviendas ocupadas por disponibilidad de energía eléctrica,servicios,Servicios básicos,numerica,serv_luz_total,,servicios_basicos,Servicios básicos del hogar
fichas,tic_celular,Hogares con teléfono celular,tic,TIC,numerica,tic_celular,tic_total,tic,Tecnologías de la información y comunicación
fichas,tic_internet,Hogares con internet fijo o móvil,tic,TIC,numerica,tic_internet,tic_total,tic,Tecnologías de la información y comunicación
fichas,tic_radio,Hogares con radio o equipo de sonido,tic,TIC,numerica,tic_radio,tic_total,tic,Tecnologías de la información y comunicación
fichas,tic_total,Hogares por tenencia de TIC,tic,TIC,numerica,tic_total,,tic,Tecnologías de la información y comunicación
fichas,tic_tv,Hogares con televisor,tic,TIC,numerica,tic_tv,tic_total,tic,Tecnologías de la información y comunicación
fichas,mat_pared_adobe,Paredes de adobe o tapial,material,Materiales de la vivienda,numerica,mat_pared_adobe,viv_tipo_presentes,materiales_construccion,Materiales de construcción
fichas,mat_pared_cana,"Paredes de caña, palma o tronco",material,Materiales de la vivienda,numerica,mat_pared_cana,viv_tipo_presentes,materiales_construccion,Materiales de construcción
fichas,mat_pared_ladrillo,"Paredes de ladrillo, bloque de cemento u hormigón",material,Materiales de la vivienda,numerica,mat_pared_ladrillo,viv_tipo_presentes,materiales_construccion,Materiales de construcción
fichas,mat_pared_madera,Paredes de madera,material,Materiales de la vivienda,numerica,mat_pared_madera,viv_tipo_presentes,materiales_construccion,Materiales de construcción
fichas,mat_pared_otro,Paredes de otro material,material,Materiales de la vivienda,numerica,mat_pared_otro,viv_tipo_presentes,materiales_construccion,Materiales de construcción
fichas,mat_pared_piedra,Paredes de piedra,material,Materiales de la vivienda,numerica,mat_pared_piedra,viv_tipo_presentes,materiales_construccion,Materiales de construcción
fichas,mat_pared_tabique,Paredes de tabique o quinche,material,Materiales de la vivienda,numerica,mat_pared_tabique,viv_tipo_presentes,materiales_construccion,Materiales de construcción
fichas,mat_piso_cemento,Piso de cemento,material,Materiales de la vivienda,numerica,mat_piso_cemento,viv_tipo_presentes,materiales_construccion,Materiales de construcción
fichas,mat_piso_ceramica,Piso de cerámica o porcelanato,material,Materiales de la vivienda,numerica,mat_piso_ceramica,viv_tipo_presentes,materiales_construccion,Materiales de construcción
fichas,mat_piso_flotante,Piso flotante,material,Materiales de la vivienda,numerica,mat_piso_flotante,viv_tipo_presentes,materiales_construccion,Materiales de construcción
fichas,mat_piso_ladrillo,Piso de ladrillo,material,Materiales de la vivienda,numerica,mat_piso_ladrillo,viv_tipo_presentes,materiales_construccion,Materiales de construcción
fichas,mat_piso_machimbre,Piso de machimbre o parquet,material,Materiales de la vivienda,numerica,mat_piso_machimbre,viv_tipo_presentes,materiales_construccion,Materiales de construcción
fichas,mat_piso_madera,Piso de tablón de madera,material,Materiales de la vivienda,numerica,mat_piso_madera,viv_tipo_presentes,materiales_construccion,Materiales de construcción
fichas,mat_piso_mosaico,Piso de mosaico o baldosa,material,Materiales de la vivienda,numerica,mat_piso_mosaico,viv_tipo_presentes,materiales_construccion,Materiales de construcción
fichas,mat_piso_otro,Piso de otro material,material,Materiales de la vivienda,numerica,mat_piso_otro,viv_tipo_presentes,materiales_construccion,Materiales de construcción
fichas,mat_piso_tierra,Piso de tierra,material,Materiales de la vivienda,numerica,mat_piso_tierra,viv_tipo_presentes,materiales_construccion,Materiales de construcción
fichas,mat_revoque_con,Vivienda con revoque en las paredes,material,Materiales de la vivienda,numerica,mat_revoque_con,viv_tipo_presentes,materiales_construccion,Materiales de construcción
fichas,mat_revoque_sin,Vivienda sin revoque en las paredes,material,Materiales de la vivienda,numerica,mat_revoque_sin,viv_tipo_presentes,materiales_construccion,Materiales de construcción
fichas,mat_techo_calamina,Techo de calamina o plancha metálica,material,Materiales de la vivienda,numerica,mat_techo_calamina,viv_tipo_presentes,materiales_construccion,Materiales de construcción
fichas,mat_techo_losa,Techo de losa de hormigón armado,material,Materiales de la vivienda,numerica,mat_techo_losa,viv_tipo_presentes,materiales_construccion,Materiales de construcción
fichas,mat_techo_otro,Techo de otro material,material,Materiales de la vivienda,numerica,mat_techo_otro,viv_tipo_presentes,materiales_construccion,Materiales de construcción
fichas,mat_techo_paja,"Techo de paja, palma, caña o barro",material,Materiales de la vivienda,numerica,mat_techo_paja,viv_tipo_presentes,materiales_construccion,Materiales de construcción
fichas,mat_techo_teja,"Techo de teja de arcilla, cemento o fibrocemento",material,Materiales de la vivienda,numerica,mat_techo_teja,viv_tipo_presentes,materiales_construccion,Materiales de construcción
fichas,hac_alto,Viviendas con hacinamiento alto (más de 3 por dormitorio o sin dormitorio),hacinamiento,Hacinamiento,numerica,hac_alto,viv_tipo_presentes,vivienda_hogar,Vivienda y hogar
fichas,hac_medio,Viviendas con hacinamiento medio (más de 2 y hasta 3 por dormitorio),hacinamiento,Hacinamiento,numerica,hac_medio,viv_tipo_presentes,vivienda_hogar,Vivienda y hogar
fichas,hac_sin,Viviendas sin hacinamiento (hasta 2 personas por dormitorio),hacinamiento,Hacinamiento,numerica,hac_sin,viv_tipo_presentes,vivienda_hogar,Vivienda y hogar
fichas,hogar_compuesto,Hogares compuestos,hogar,Tipo de hogar,numerica,hogar_compuesto,viv_tipo_presentes,vivienda_hogar,Vivienda y hogar
fichas,hogar_extendido,Hogares extendidos,hogar,Tipo de hogar,numerica,hogar_extendido,viv_tipo_presentes,vivienda_hogar,Vivienda y hogar
fichas,hogar_monoparental,Hogares monoparentales,hogar,Tipo de hogar,numerica,hogar_monoparental,viv_tipo_presentes,vivienda_hogar,Vivienda y hogar
fichas,hogar_nuclear,Hogares nucleares completos,hogar,Tipo de hogar,numerica,hogar_nuclear,viv_tipo_presentes,vivienda_hogar,Vivienda y hogar
fichas,hogar_otro,Hogares de otro tipo,hogar,Tipo de hogar,numerica,hogar_otro,viv_tipo_presentes,vivienda_hogar,Vivienda y hogar
fichas,hogar_pareja,Hogares de pareja nuclear,hogar,Tipo de hogar,numerica,hogar_pareja,viv_tipo_presentes,vivienda_hogar,Vivienda y hogar
fichas,hogar_sinjefe,Hogares sin jefe de hogar,hogar,Tipo de hogar,numerica,hogar_sinjefe,viv_tipo_presentes,vivienda_hogar,Vivienda y hogar
fichas,hogar_unipersonal,Hogares unipersonales,hogar,Tipo de hogar,numerica,hogar_unipersonal,viv_tipo_presentes,vivienda_hogar,Vivienda y hogar
